YEAR,days,DASE_AVG,AD_S,POET_S,NREL_S,AD_N,POET_N,NREL_N,CS_N,GWC16,PALOUSE,CS_1P,AD_1P,CCBP_P,DASE_1P,VERSHIRE,CS_1V,AD_1V,CCBP_V,DASE_1V
14,5111,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0712891,408.9537537,881.6477476,772.7423536,317.1175095,850.0093002,281.3722441,987.1732779,877.5082913,344.4954762,2223.974156
14.2,5184,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0711589,408.9536455,647.4325205,688.7601773,235.7335033,759.2225654,275.8973946,763.886135,789.5454862,262.2614091,2151.671977
14.4,5257,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0710288,408.9535374,490.091828,633.4364088,198.6574016,726.6171549,270.5290732,621.7556071,741.112677,217.8051312,2138.854077
14.6,5330,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0708987,408.9534292,357.4508634,587.0425716,161.4284035,686.7330838,265.2652072,507.7054883,694.7307562,180.0229364,2119.93734
14.8,5403,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0707685,408.9533211,237.3415463,543.6434596,126.8975439,650.3151572,260.1037641,419.3700011,650.7977385,149.7571273,2102.524313
15,5476,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0706384,408.953213,881.6477476,772.7423536,317.1175095,850.0093002,255.0427511,987.1732779,877.5082913,344.4954762,2319.023052
15.2,5549,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0705082,408.9531049,647.4325205,688.7601773,235.7335033,759.2225654,250.0802138,763.886135,789.5454862,262.2614091,2245.518244
15.4,5622,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0703781,408.9529968,490.091828,633.4364088,198.6574016,726.6171549,245.2142363,621.7556071,741.112677,217.8051312,2231.504089
15.6,5695,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0702479,408.9528887,357.4508634,587.0425716,161.4284035,686.7330838,240.4429398,507.7054883,694.7307562,180.0229364,2211.397578
15.8,5768,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0701178,408.9527806,237.3415463,543.6434596,126.8975439,650.3151572,235.7644818,419.3700011,650.7977385,149.7571273,2192.801362
16,5841,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0699877,408.9526725,881.6477476,772.7423536,317.1175095,850.0093002,231.177056,987.1732779,877.5082913,344.4954762,2408.123595
16.2,5914,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0698575,408.9525644,647.4325205,688.7601773,235.7335033,759.2225654,226.6788912,763.886135,789.5454862,262.2614091,2333.449057
16.4,5987,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0697274,408.9524563,490.091828,633.4364088,198.6574016,726.6171549,222.2682505,621.7556071,741.112677,217.8051312,2318.272037
16.6,6060,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0695972,408.9523482,357.4508634,587.0425716,161.4284035,686.7330838,217.9434308,507.7054883,694.7307562,180.0229364,2297.009609
16.8,6133,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0694671,408.9522401,237.3415463,543.6434596,126.8975439,650.3151572,213.7027624,419.3700011,650.7977385,149.7571273,2277.264504
17,6206,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.069337,408.952132,881.6477476,772.7423536,317.1175095,850.0093002,209.5446077,987.1732779,877.5082913,344.4954762,2491.444949
17.2,6279,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0692068,408.9520239,647.4325205,688.7601773,235.7335033,759.2225654,205.4673613,763.886135,789.5454862,262.2614091,2415.635797
17.4,6352,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0690767,408.9519158,490.091828,633.4364088,198.6574016,726.6171549,201.469449,621.7556071,741.112677,217.8051312,2399.331399
17.6,6425,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0689465,408.9518077,357.4508634,587.0425716,161.4284035,686.7330838,197.5493269,507.7054883,694.7307562,180.0229364,2376.948894
17.8,6498,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0688164,408.9516997,237.3415463,543.6434596,126.8975439,650.3151572,193.7054815,419.3700011,650.7977385,149.7571273,2356.09107
18,6571,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0686863,408.9515916,881.6477476,772.7423536,317.1175095,850.0093002,189.9364287,987.1732779,877.5082913,344.4954762,2569.166209
18.2,6644,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0685561,408.9514835,647.4325205,688.7601773,235.7335033,759.2225654,186.2407131,763.886135,789.5454862,262.2614091,2492.259212
18.4,6717,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.068426,408.9513754,490.091828,633.4364088,198.6574016,726.6171549,182.6169077,621.7556071,741.112677,217.8051312,2474.86448
18.6,6790,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0682958,408.9512673,357.4508634,587.0425716,161.4284035,686.7330838,179.0636134,507.7054883,694.7307562,180.0229364,2451.399193
18.8,6863,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0681657,408.9511592,237.3415463,543.6434596,126.8975439,650.3151572,175.5794582,419.3700011,650.7977385,149.7571273,2429.466179
19,6936,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0680356,408.9510511,881.6477476,772.7423536,317.1175095,850.0093002,172.1630967,987.1732779,877.5082913,344.4954762,2641.473757
19.2,7009,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0679054,408.950943,647.4325205,688.7601773,235.7335033,759.2225654,168.8132099,763.886135,789.5454862,262.2614091,2563.506861
19.4,7082,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0677753,408.9508349,490.091828,633.4364088,198.6574016,726.6171549,165.5285043,621.7556071,741.112677,217.8051312,2545.059921
19.6,7155,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0676451,408.9507268,357.4508634,587.0425716,161.4284035,686.7330838,162.3077117,507.7054883,694.7307562,180.0229364,2520.550145
19.8,7228,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.067515,408.9506187,237.3415463,543.6434596,126.8975439,650.3151572,159.1495883,419.3700011,650.7977385,149.7571273,2497.580385
20,7301,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0673849,408.9505106,881.6477476,772.7423536,317.1175095,850.0093002,156.0529149,987.1732779,877.5082913,344.4954762,2708.558981
20.2,7374,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0672547,408.9504026,647.4325205,688.7601773,235.7335033,759.2225654,153.0164958,763.886135,789.5454862,262.2614091,2629.570887
20.4,7447,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0671246,408.9502945,490.091828,633.4364088,198.6574016,726.6171549,150.0391585,621.7556071,741.112677,217.8051312,2610.110547
20.6,7520,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0669945,408.9501864,357.4508634,587.0425716,161.4284035,686.7330838,147.1197534,507.7054883,694.7307562,180.0229364,2584.595183
20.8,7593,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0668643,408.9500783,237.3415463,543.6434596,126.8975439,650.3151572,144.2571534,419.3700011,650.7977385,149.7571273,2560.627658
21,7666,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0667342,408.9499702,881.6477476,772.7423536,317.1175095,850.0093002,141.450253,987.1732779,877.5082913,344.4954762,2770.616319
21.2,7739,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.066604,408.9498621,647.4325205,688.7601773,235.7335033,759.2225654,138.6979686,763.886135,789.5454862,262.2614091,2690.646126
21.4,7812,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0664739,408.949754,490.091828,633.4364088,198.6574016,726.6171549,135.9992374,621.7556071,741.112677,217.8051312,2670.211529
21.6,7885,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0663438,408.9496459,357.4508634,587.0425716,161.4284035,686.7330838,133.3530175,507.7054883,694.7307562,180.0229364,2643.729749
21.8,7958,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0662136,408.9495378,237.3415463,543.6434596,126.8975439,650.3151572,130.7582869,419.3700011,650.7977385,149.7571273,2618.803648
22,8031,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0660835,408.9494297,881.6477476,772.7423536,317.1175095,850.0093002,128.214044,987.1732779,877.5082913,344.4954762,2827.841573
22.2,8104,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0659533,408.9493216,647.4325205,688.7601773,235.7335033,759.2225654,125.7193062,763.886135,789.5454862,262.2614091,2746.928477
22.4,8177,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0658232,408.9492136,490.091828,633.4364088,198.6574016,726.6171549,123.2731104,621.7556071,741.112677,217.8051312,2725.558804
22.6,8250,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0656931,408.9491055,357.4508634,587.0425716,161.4284035,686.7330838,120.874512,507.7054883,694.7307562,180.0229364,2698.149766
22.8,8323,103.5904315,186.9155626,508.9396384,80.13426505,45.87058614,153.3660951,23.76796661,0,484.0655629,408.9489974,237.3415463,543.6434596,126.8975439,650.3151572,118.522585,419.3700011,650.7977385,149.7571273,2672.304216
23,8396,319.5993422,491.1723414,704.2553427,321.4664522,202.5948241,252.8874346,139.5820212,345.811145,484.0654328,408.9488893,881.6477476,772.7423536,317.1175095,850.0093002,116.2164211,987.1732779,877.5082913,344.4954762,2880.430487
23.2,8469,152.858634,289.391657,630.1519723,174.7855041,86.58765576,212.4753806,63.63569818,0,484.0653026,408.9487812,647.4325205,688.7601773,235.7335033,759.2225654,113.9551299,763.886135,789.5454862,262.2614091,2798.613519
23.4,8542,145.0943467,263.8105288,592.9123439,146.9030727,80.68126607,193.43979,54.59810736,0,484.0651725,408.9486731,490.091828,633.4364088,198.6574016,726.6171549,111.7378383,621.7556071,741.112677,217.8051312,2776.347741
23.6,8615,119.1316467,218.4908681,550.4561294,107.1282038,60.44230309,171.5325686,38.38824009,0,484.0650424,408.948565,357.4508634,587.0425716,161.4284035,686.7330838,109.5636902,507.7054883,694.7307562,180.0229364,2748.050348
